InstAddress		Total_Execution	Total_Cycles	Instruction
9000750a		160                 	33760               	LD    --R0, R22
9000750c		160                 	33760               	LD    --R0, R21
9000750e		160                 	33760               	LD    --R0, R20
90007510		160                 	1760                	JMP   R16, JMP
90007512		96                  	864                 	ST    R0++, R16
90007514		96                  	864                 	ST    R0++, R17
90007516		96                  	288                 	MOV   R1, R17
90007518		96                  	384                 	ADD   R30, R1, 0x1c
9000751c		96                  	864                 	STX   R17, R2, 0x0
90007520		96                  	20160               	LD    R17, R2
90007522		96                  	288                 	MOVC  0, R3
90007524		96                  	1248                	JSR   R31, JMP, 0x00006a0a
9000752a		96                  	288                 	MOV   R17, R1
9000752c		96                  	20256               	LD    --R0, R17
9000752e		96                  	20256               	LD    --R0, R16
90007530		96                  	1056                	JMP   R16, JMP
90007532		64                  	576                 	ST    R0++, R16
90007534		64                  	576                 	ST    R0++, R17
90007536		64                  	192                 	MOV   R1, R17
90007538		64                  	256                 	ADD   R30, R1, 0x1c
9000753c		64                  	576                 	STX   R17, R2, 0x0
90007540		64                  	13440               	LD    R17, R2
90007542		64                  	192                 	MOVC  1, R3
90007544		64                  	832                 	JSR   R31, JMP, 0x00006a0a
9000754a		64                  	192                 	MOV   R17, R1
9000754c		64                  	13504               	LD    --R0, R17
9000754e		64                  	13504               	LD    --R0, R16
90007550		64                  	704                 	JMP   R16, JMP
90007552		32                  	288                 	ST    R0++, R22
90007554		32                  	96                  	MOVC  0, R22
90007556		32                  	96                  	MOVC  0, R22
90007558		4096                	16384               	ADDX  R28, R11, 0x200
9000755c		4096                	12288               	MOV   R22, R10
9000755e		4096                	32768               	MULC  4, R10
90007560		4096                	12288               	ADD   R10, R11
90007562		4096                	12288               	MOV   R29, R10
90007564		4096                	20480               	ADD   R31, R10, 0x00001a8c
9000756a		4096                	860160              	LD    R10, R10
9000756c		4096                	32768               	ST    R11, R10
9000756e		4096                	16384               	ADDX  R22, R22, 0x1
90007572		4096                	16384               	COMP  R30, R22, 0x80
90007576		4096                	48928               	JMP   R31, JL, 0x00006b08
9000757c		32                  	6752                	LD    --R0, R22
9000757e		32                  	352                 	JMP   R16, JMP
90007580		32                  	288                 	ST    R0++, R16
90007582		32                  	288                 	ST    R0++, R17
90007584		32                  	96                  	MOV   R1, R17
90007586		32                  	96                  	ADDC  8, R1
90007588		32                  	288                 	ST    R0++, R21
9000758a		32                  	288                 	ST    R0++, R22
9000758c		32                  	288                 	STX   R17, R2, 0x0
90007590		32                  	6720                	LD    R17, R8
90007592		32                  	128                 	MOV   R30, R9, 0x20
90007596		32                  	416                 	JSR   R31, JMP, 0x00000718
9000759c		32                  	96                  	MOV   R23, R21
9000759e		32                  	6720                	LD    R17, R11
900075a0		32                  	128                 	ADDX  R11, R22, 0x1
900075a4		32                  	384                 	JMP   R31, JMP, 0x00006ba8
900075aa		2544                	10176               	ADDX  R28, R11, 0x400
